CUSTOMERID,CUST_CONSTTYPE_ID,CUST_CATEGORYID,PROFESSION,AGE,SEX,MARITAL_STATUS,QUALIFICATION,NO_OF_DEPENDENT,OCCUPATION,POSITION,GROSS_INCOME,PRE_JOBYEARS,NETTAKEHOMEINCOME,BRANCH_PINCODE
12004610,1,4,,48,M,M,POSTGRAD,2,,,127815.4452,,127815.4452,411005
12004797,1,4,,40,M,M,UG,0,,,54797.2967,,54797.2967,628002
12004798,1,6,,26,M,M,PRF,0,,,63118.22867,,63118.22867,400070
12004617,4,8,,,,,,0,,MD,0,,0,400070
12004613,1,5,,32,M,M,ENG,0,,,75815.4379,7,75815.4379,411005
12004799,1,4,,30,M,S,OTHERS,0,,,48792.1135,,48792.1135,625010
12004702,1,4,,41,M,M,OTHERS,0,,,128811.1796,,128811.1796,625010
12004618,1,4,,38,M,M,GRAD,0,,,1095506.31,,1095506.305,400070
12004615,1,4,,57,M,M,UG,0,,,361812.2878,,361812.2878,600017
12004619,1,4,,34,M,M,GRAD,0,,,223960.0646,,223960.0646,400070
12004621,1,4,,36,M,M,POSTGRAD,0,,,254895.5857,,254895.5857,400070
12004622,1,4,,43,M,M,UG,3,,,112597.185,,112597.185,600017
12004620,1,5,,25,M,S,GRAD,0,,,61428.52025,3,61428.52025,411005
12004703,1,4,,,,,,,,,0,,0,#N/A
12004623,1,4,,49,M,M,GRAD,0,,,94317.40734,0,94317.40734,400070
12004801,1,4,,52,M,M,UG,0,,,370072.1621,,370072.1666,400070
12004624,1,4,,36,M,M,UG,1,,,49829.76412,,49829.75961,380015
12005256,1,4,,26,M,S,UG,2,,,61853.38696,,61853.38696,605005
12004704,1,4,,43,M,M,GRAD,0,,,560643.9036,,560643.9036,560095
12004626,4,8,,,,,,0,,MD,0,,0,400070
12004802,1,4,,41,M,M,UG,2,,,156908.426,,156908.4305,411005
12004705,1,5,,52,M,M,UG,0,,,75066.2913,11,75066.2913,560095
12004627,1,4,,41,M,M,GRAD,2,,,201922.4685,,201922.4715,110001
12005020,1,4,,32,M,M,UG,0,,,45088.41676,,45088.41676,500034
12004706,1,4,,46,F,M,UG,0,,,87612.6203,,87612.6203,600053
12004804,1,4,,41,M,M,UG,4,,,55286.71913,0,55286.71913,600053
12004629,1,4,,40,F,M,UG,0,,,1.5012958,,1.5012958,0
12004805,1,6,,36,F,M,PRF,0,,,313219.8466,,313219.8466,400070
12004708,1,4,,39,F,M,UG,0,,,52545.353,,52545.353,641002
12004631,1,5,,25,M,S,GRAD,0,,,83776.80953,0,83776.80953,600017
12004580,1,4,,50,M,M,UG,3,,,150129.58,,150129.58,641002
12004633,1,4,,49,M,M,GRAD,0,,,95397.46956,,95397.46956,400070
12004807,1,4,,38,M,M,GRAD,0,,,139142.8421,,139142.8466,400070
12004707,1,4,,47,M,M,UG,0,,,47628.60926,,47628.60926,500034
12004709,1,4,,42,M,M,UG,0,,,105692.2302,,105692.2257,395002
12004632,1,4,,41,M,M,UG,0,,,112597.185,,112597.185,600017
12004808,1,4,,45,M,M,UG,0,,,362074.6392,,362074.6392,400070
12005257,1,4,,44,F,M,UG,0,,,126469.1582,,126469.1582,500034
12004634,1,5,,36,M,M,UG,0,,,39515.60675,0,39515.60675,620017
12004635,1,4,,41,M,M,GRAD,0,,,181505.1609,,181505.1609,400070
12004630,1,4,,34,M,M,UG,0,,,78552.30014,,78552.30014,500034
12004636,1,4,,46,M,M,GRAD,4,,,120103.664,,120103.664,620017
12004710,4,8,,,,,,0,,MD,0,,0,110001
12004809,1,4,,48,F,M,GRAD,0,,,116686.8349,,116686.8394,400070
12004711,1,5,,38,M,M,GRAD,0,,,73242.2169,7,73242.2169,560095
12004806,1,4,,25,F,M,GRAD,,,,82811.47633,,82811.47633,500034
12004712,1,4,,40,M,M,UG,0,,,120103.664,,120103.664,600017
12004810,1,5,,40,M,M,UG,3,,,13061.27346,0,13061.27346,0
12004714,1,5,,41,M,M,UG,0,,,27389.64058,14,27389.64058,0
12004637,1,4,,30,M,M,GRAD,0,,,56817.78563,,56817.79013,395002
12004715,1,4,,40,F,M,UG,0,,,52545.353,,52545.353,613009
12004638,1,5,,49,M,M,UG,0,,,48325.21051,0,48325.21051,620017
12004639,1,4,,38,M,M,GRAD,2,,,36599.39971,,36599.40271,411005
12005258,1,5,,40,F,M,GRAD,0,,,133634.843,0,133634.843,400070
12004811,1,4,,33,F,M,UG,0,,,77231.15984,,77231.15984,560095
12004813,1,4,,38,M,M,UG,0,,,56460.73245,,56460.73245,400070
12004812,1,4,,51,F,M,GRAD,2,,,73017.02253,,73017.02253,380015
12004717,1,4,,45,M,M,UG,0,,,200489.0463,,200489.0463,500034
12004642,1,5,,39,M,M,ENG,0,,,426854.427,1,426854.427,560095
12004719,3,4,,50,M,M,UG,0,,,50902.18475,,50902.18475,395002
12004643,1,4,,32,M,M,UG,1,,,108821.4261,,108821.4261,600053
12004720,1,4,,54,F,M,UG,0,,,123648.2234,,123648.2234,400070
12004721,1,5,,33,M,M,PRF,0,,,189203.8058,3,189203.8058,400070
12004815,1,5,,38,M,M,POSTGRAD,0,,,217118.8999,14,217118.8999,560095
12004722,1,4,,33,M,M,UG,0,,,94235.84194,,94235.83743,395002
12004649,1,4,,43,M,M,POSTGRAD,3,,,300259.16,5,300259.16,600017
12004651,1,4,,32,M,M,UG,4,,,229998.5166,,229998.5166,600053
12004650,1,4,,50,M,M,GRAD,0,,,68939.50314,,68939.50314,500034
12004652,1,4,,43,M,M,GRAD,1,,,35517.53593,,35517.53143,395002
12004644,1,4,,58,F,M,UG,0,,,388460.2883,,388460.2883,411005
12004727,1,4,,46,F,M,GRAD,0,,,345406.1273,,345406.1273,400070
12004816,1,4,,48,M,M,UG,0,,,560076.4137,,560076.4137,500034
12004646,1,4,,49,M,M,UG,0,,,108843.9455,,108843.9455,636004
12004655,1,4,,33,M,M,GRAD,2,,,637240.886,,637240.8905,110001
12004728,1,4,,46,M,M,UG,0,,,126924.9216,,126924.9261,400070
12004817,1,4,,46,M,M,UG,0,,,99772.48573,,99772.49024,395002
12004729,1,5,,28,F,M,PRF,0,,,29755.68276,2,29755.68276,625010
12004657,1,4,,40,M,M,UG,3,,,135116.622,,135116.622,641002
12004726,1,5,,34,M,M,GRAD,2,,SM,58946.87829,5,58946.87829,411005
12004819,1,4,,47,F,M,UG,0,,,73396.85037,,73396.85037,400070
12004820,1,5,,47,F,M,GRAD,0,,,106098.0755,0,106098.0755,400070
12004731,1,4,,35,M,M,UG,2,,,56727.70788,,56727.71238,380015
12004658,1,4,,27,M,S,UG,2,,,90077.748,,90077.748,620017
12004821,1,5,,44,M,M,UG,0,,,70508.35725,0,70508.35725,613009
12004732,1,4,,51,M,M,UG,0,,,142692.1606,,142692.1606,395002
12004824,1,5,,43,M,M,GRAD,2,,MGR,117410.3393,0,117410.3393,110001
12004733,1,4,,41,F,M,UG,2,,,133571.1581,,133571.1626,380015
12004664,1,4,,30,M,M,GRAD,0,,,225194.37,,225194.37,620017
12005022,1,4,,73,M,M,UG,0,,,115419.1257,,115419.1212,395002
12005023,1,4,,38,M,M,GRAD,0,,,231459.983,,231459.9845,400070
12004825,1,5,,28,M,M,ENG,0,,OTH,46540.1698,7,46540.1698,395002
12004667,4,8,,,,,,0,,MD,0,,0,110001
12004826,1,4,,54,M,M,UG,0,,,105822.7078,,105822.7123,400070
12004827,1,4,,31,M,M,UG,0,,,70077.48535,,70077.48535,500034
12004828,1,4,,43,M,M,UG,3,,,70110.51386,,70110.51386,500034
12005259,1,7,,44,F,M,UG,0,,,1.5012958,,1.5012958,500034
12004829,1,4,,48,M,M,UG,2,,,111170.954,,111170.954,500034
12004830,1,5,,33,M,M,GRAD,0,,,1.5012958,3,1.5012958,400070
12004833,1,4,,37,M,M,UG,3,,,97584.227,,97584.227,641002
12005260,1,4,,60,M,M,GRAD,3,,,204266.6819,,204266.6819,110001
12004741,1,5,,35,M,M,GRAD,2,,,158879.1319,5,158879.1319,600017
12004742,1,4,,48,M,M,GRAD,2,,,96886.9952,,96886.99971,110001
12004834,1,5,,32,M,S,GRAD,0,,,148718.3619,4,148718.3619,400070
12005024,1,4,,41,M,M,UG,4,,,74389.20689,,74389.20689,625010
12004835,1,4,,46,M,M,UG,3,,,382830.429,1,382830.429,605005
12004743,1,4,,40,F,M,UG,3,,,124832.7458,,124832.7458,625010
12004836,1,4,,52,M,M,UG,0,,,100694.9119,,100694.9119,632007
12004745,1,4,,49,M,M,UG,0,,,84201.49608,,84201.49608,400070
12004746,1,4,,29,M,M,UG,0,,,118944.6636,,118944.6636,641601
12004837,1,4,,37,F,M,UG,0,,,22914.2778,,22914.2778,605005
12005025,1,4,,47,M,M,UG,2,,,71879.04031,3,71879.04031,641601
12004838,1,5,,29,M,S,GRAD,2,,,81388.24791,1,81388.24791,500034
12005021,1,4,,62,M,M,POSTGRAD,0,,,63054.4236,,63054.4236,628002
12004747,1,4,,54,M,M,OTHERS,0,,,57334.4866,,57334.4866,625010
12004822,1,4,,54,M,M,OTHERS,0,,,57912.48549,,57912.48549,628002
12004750,1,4,,35,M,M,UG,0,,,90077.748,,90077.748,600017
12004839,1,5,,54,F,M,GRAD,0,,,57085.2715,0,57085.2715,110001
12004823,1,4,,38,F,M,GRAD,1,,,677510.7738,5,677510.7738,628002
12004840,1,4,,45,M,M,OTHERS,3,,,114497.8255,3,114497.8255,625010
12004752,1,4,,33,M,M,GRAD,0,,,32563.30107,,32563.29356,110001
12004841,1,4,,54,F,M,UG,2,,,35474.61389,,35474.61839,500034
12004754,1,6,,55,M,M,GRAD,1,,,84287.50532,,84287.50082,110001
12004753,1,5,,41,M,M,PRF,2,,,210181.412,12,210181.412,600017
12005026,1,5,,33,M,M,GRAD,0,,,78396.16538,2,78396.16538,400070
12004842,1,4,,32,M,M,PRF,0,,,149025.3169,,149025.3169,400070
12004749,1,4,,56,M,M,GRAD,0,,,64571.10768,,64571.10768,411005
12005027,1,4,,61,F,M,GRAD,2,,,976712.4961,,976712.4901,110001
12004844,1,4,,60,M,M,UG,0,,,40858.89117,,40858.89117,500034
12004845,1,5,,44,M,M,UG,3,,,28509.60724,14,28509.60724,641002
12004846,1,4,,42,M,M,OTHERS,0,,,38958.62601,,38958.62601,625010
12006186,1,4,,34,M,M,GRAD,2,,,155636.8284,,155636.8329,411005
12004847,1,4,,39,M,M,OTHERS,0,,,45414.19795,,45414.19795,625010
12004756,1,4,,52,F,M,GRAD,1,,,75649.28949,,75649.294,110001
12005261,1,4,,48,M,M,UG,2,,,140100.9241,,140100.9241,411005
12004843,1,5,,48,F,M,GRAD,0,,,90044.71949,0,90044.71949,411005
12004848,1,5,,35,F,M,POSTGRAD,0,,,79663.25904,8,79663.25904,400070
12004849,1,5,,37,M,M,POSTGRAD,2,,,133211.4776,4,133211.4776,600017
12004850,1,4,,48,M,M,OTHERS,0,,,81595.42673,,81595.42673,625010
12005028,1,4,,52,M,M,OTHERS,2,,,214385.0402,18,214385.0402,625010
12004851,1,4,,42,M,M,UG,3,,,33249.4533,,33249.4488,411005
12004852,1,4,,26,M,S,GRAD,2,,,82571.269,,82571.269,600053
12005262,1,4,,32,M,M,GRAD,0,,,114828.606,,114828.606,400070
12005820,1,5,,46,M,M,GRAD,3,,AST,40946.34165,6,40946.34165,380015
12005029,1,4,,41,M,M,GRAD,0,,,186464.7517,,186464.7517,400070
12004853,1,5,,37,M,M,GRAD,0,,,114437.7737,11,114437.7737,400070
12004854,1,4,,29,M,M,UG,0,,,90077.748,,90077.748,600053
12004855,1,5,,50,F,M,UG,0,,,85312.63513,0,85312.63513,500034
12004856,1,4,,37,M,M,UG,3,,,52545.353,,52545.353,600053
12004857,1,4,,48,M,M,UG,0,,,21114.71956,,21114.71956,400070
12004858,1,4,,33,M,M,UG,3,,,52545.353,6,52545.353,605005
12004859,1,4,,59,M,M,GRAD,0,,,1771038,,1771037.996,400070
12005030,1,4,,42,M,M,UG,1,,,36464.97369,,36464.97369,411005
12004860,1,4,,38,F,M,UG,0,,,150.12958,,150.12958,605005
12004861,1,4,,48,M,M,POSTGRAD,0,,,52012.39299,,52012.39299,605005
12004862,1,4,,31,M,M,GRAD,0,,,120103.664,,120103.664,500034
12004863,1,5,,44,F,M,GRAD,0,,,225194.37,6,225194.37,400070
12004757,1,4,,48,M,M,UG,2,,,70807.37033,,70807.36583,600017
12005031,1,4,,32,M,M,UG,0,,,101044.8339,,101044.8339,400070
12005032,1,5,,36,M,M,PRF,0,,,295418.9823,5,295418.9823,400070
12004759,1,5,,34,F,M,PRF,0,,,127704.7246,2,127704.7246,400070
12004864,1,4,,31,M,M,OTHERS,0,,,40369.84406,,40369.84406,625010
12004865,1,4,,31,M,M,UG,0,,,36308.3435,,36308.33899,395002
12004866,1,5,,48,M,M,UG,3,,,42686.34348,0,42686.34348,620017
12004867,1,4,,48,M,M,UG,2,,,63054.4236,,63054.4236,641002
12004868,1,4,,50,M,M,GRAD,0,,,98146.58238,,98146.58688,560095
12005033,1,5,,42,M,M,GRAD,0,,,69562.54089,11,69562.54089,400070
12004869,1,4,,35,M,M,GRAD,0,,,86265.95796,,86265.95796,400070
12004870,1,7,,33,F,M,POSTGRAD,0,,,0.120103664,,0.124607551,500034
12004871,1,4,,60,M,M,GRAD,1,,,51088.34543,,51088.34543,110001
12004873,1,4,,45,M,M,GRAD,0,,,126577.5067,,126577.5022,500034
12004762,1,4,,42,M,M,UG,3,,,300259.16,,300259.16,641002
12004872,1,4,,52,M,M,UG,0,,,225194.37,,225194.37,600017
12004763,1,4,,35,F,M,POSTGRAD,,,,150129.58,,150129.58,600017
12004875,1,5,,52,M,M,UG,0,,OTH,73347.3076,0,73347.3076,500034
12004877,1,4,,40,F,M,GRAD,0,,,332892.7067,,332892.7022,400070
12004878,1,7,,48,F,M,GRAD,0,,,0,,0,400070
12004879,1,4,,32,M,M,OTHERS,0,,,36421.43611,,36421.43611,625010
12005606,1,5,,51,M,M,UG,0,,,208091.6082,31,208091.6082,400070
12004880,1,4,,40,M,M,UG,0,,,56751.4884,,56751.4839,500034
12005034,1,5,,35,M,M,POSTGRAD,2,,,84943.31636,5,84943.31636,600017
12005035,1,4,,,,,,,,,0,,0,#N/A
12005607,1,4,,41,M,M,POSTGRAD,0,,,138186.0213,,138186.0213,400070
12005264,1,4,,53,M,M,UG,5,,,114820.6041,,114820.6041,628002
12004882,1,5,,33,M,M,GRAD,0,,,40114.62378,4,40114.62378,411005
12004764,1,4,,68,M,M,GRAD,0,,,142599.0803,,142599.0803,110001
12005036,1,5,,42,M,M,GRAD,0,,,130696.8072,2,130696.8072,400070
12004886,1,4,,28,M,M,UG,0,,,80533.8905,,80533.88599,395002
12005037,1,4,,57,M,M,UG,0,,,99836.1707,,99836.1707,517501
12004885,1,4,,33,M,S,GRAD,2,,,96645.91713,10,96645.91713,600017
12004766,1,4,,52,M,M,GRAD,0,,,205409.0479,,205409.0434,110001
12004767,1,4,,34,M,M,UG,3,,,33700.08225,,33700.08675,395002
12004887,1,5,,55,M,M,UG,0,,,152211.8773,0,152211.8773,500034
12004888,1,5,,37,M,M,POSTGRAD,0,,,112889.9377,4,112889.9377,500034
12004765,1,5,,41,M,M,GRAD,0,,,69419.91779,13,69419.91779,411005
12004768,1,5,,26,M,M,POSTGRAD,1,,,52845.61216,3,52845.61216,380015
12004889,1,5,,35,M,M,GRAD,0,,MGR,63054.4236,0,63054.4236,395002
12004890,1,5,,43,F,M,GRAD,0,,,66310.73419,3,66310.73419,400070
12004891,1,6,,39,M,M,PRF,0,,,174269.1854,,174269.1854,400070
12004769,1,5,,29,M,M,POSTGRAD,0,,,106339.7841,0,106339.7841,110001
12005038,1,4,,36,M,M,UG,3,,,108093.2976,,108093.2976,600053
12005039,1,6,,32,M,S,PRF,0,,,140747.9825,,140747.9825,605005
12004894,1,5,,33,M,M,GRAD,0,,,43725.24018,4,43725.24018,613009
12005265,1,4,,40,M,M,UG,3,,,101930.4783,,101930.4783,632007
12004896,2,8,,,,,,0,,POSITION,0,,0,110001
12004895,1,4,,49,M,M,UG,0,,,78067.3816,,78067.3816,636004
12004897,1,5,,63,M,M,GRAD,2,,,97471.62982,0,97471.62982,110001
12005990,1,5,,31,M,M,ENG,0,,,76566.0858,4,76566.0858,560095
12004898,1,4,,47,M,M,UG,0,,,150129.58,,150129.58,641002
12004893,1,4,,31,F,M,UG,1,,,146368.2035,,146368.208,411005
12004899,1,5,,36,M,M,POSTGRAD,0,,,286255.0728,7,286255.0728,560095
12004901,4,8,,,,,,0,,MD,0,,0,110001
12004903,1,5,,25,F,S,GRAD,0,,,75759.88996,,0,600053
12004904,1,4,,46,M,M,UG,3,,,39033.6908,,39033.6908,620017
12004905,1,4,,49,M,M,GRAD,2,,,43984.96435,,43984.96435,380015
12004772,1,4,,31,M,M,UG,2,,,108843.9455,,108843.9455,600017
12005042,1,5,,50,M,M,UG,0,,,46540.1698,,46540.1698,500034
12004906,1,4,,30,M,M,UG,0,,,120103.664,,120103.664,600053
12004907,1,4,,29,M,M,UG,0,,,97584.227,,97584.227,600017
12004908,1,4,,46,M,M,UG,0,,,95257.21851,,95257.21851,635109
12004910,1,4,,38,M,M,UG,0,,,37696.03624,,37696.03624,560095
12004911,1,4,,37,M,M,GRAD,0,,,327288.4295,,327288.4265,411005
12005043,1,4,,47,M,M,GRAD,0,,,187661.975,,187661.975,400070
12004912,1,4,,47,M,M,null,0,,,48007.94166,,48007.93716,400070
12005044,1,5,,30,M,M,GRAD,0,,,73144.63267,5,73144.63267,400070
12004920,1,4,,53,M,M,UG,0,,,138869.8615,,138869.8615,570009
12005266,1,4,,53,M,M,UG,3,,,69134.67159,,69134.67159,632007
12005045,1,5,,47,M,M,GRAD,0,,,58152.69281,0,58152.69281,400070
12005046,1,4,,56,M,M,UG,0,,,219557.6348,,219557.6303,395002
12004922,1,4,,60,M,M,UG,0,,,339394.3084,,339394.3129,395002
12005047,1,4,,40,M,M,GRAD,0,,,75806.55023,,75806.55473,400070
12005048,1,5,,41,M,M,UG,3,,,25627.11931,15,25627.11931,625010
12005267,1,5,,28,M,S,GRAD,0,,,43773.28164,0,43773.28164,613009
12005049,1,4,,36,F,M,POSTGRAD,4,,,600518.32,,600518.32,605005
12005051,1,5,,40,M,M,GRAD,0,,,642051.6683,5,642051.6683,400070
12005050,1,4,,28,M,S,UG,2,,,53419.10716,,53419.10716,628002
12005053,1,4,,37,M,M,POSTGRAD,4,,,88771.62065,,88771.62065,0
12005054,1,4,,36,M,M,GRAD,0,,,206705.657,,206705.6615,400070
12004924,1,4,,37,M,M,UG,0,,,77741.60041,,77741.60041,500034
12005268,1,5,,35,M,M,OTHERS,0,,,27653.86864,0,27653.86864,628002
12004925,1,4,,38,M,M,UG,0,,,47140.68812,,47140.68812,625010
12005055,1,4,,31,M,M,GRAD,0,,,147260.1083,,147260.1083,400070
12004926,1,4,,37,M,M,UG,0,,,78067.3816,,78067.3816,641002
12004927,1,4,,35,M,M,GRAD,0,,,121256.5391,,121256.5391,400070
12004928,1,4,,30,M,M,POSTGRAD,3,,,80132.0987,,80132.1017,411005
12005058,1,5,,44,F,M,POSTGRAD,0,,,348183.5245,10,348183.5245,400070
12004931,1,4,,39,M,M,UG,2,,,90077.748,,90077.748,620017
12004932,1,4,,38,M,M,UG,0,,,75064.79,,75064.79,600017
12005059,1,5,,40,M,M,GRAD,0,,,123969.5007,4,123969.5007,400070
12005057,1,4,,54,M,M,UG,2,,,134241.9971,,134241.9926,411005
12005060,1,4,,37,M,M,UG,0,,,82571.269,,82571.269,641002
12004934,1,4,,40,M,M,OTHERS,2,,,233895.5051,,233895.5051,600017
12005061,4,8,,,,,,0,,MD,0,,0,110001
12004929,1,5,,27,M,M,POSTGRAD,0,,,44075.0421,2,44075.0421,411005
12005269,1,4,,45,F,M,POSTGRAD,4,,,130612.7346,,130612.7346,625010
12004936,1,5,,38,M,M,PRF,0,,,362813.6521,15,362813.6521,560095
12005063,1,4,,46,M,M,UG,2,,,105511.1889,,105511.1934,500034
12005270,4,8,,,,,,0,,,0,,0,400070
12004937,4,8,,,,,,0,,,0,,0,560095
12005821,1,4,,46,F,M,UG,1,,,1.5012958,,1.5012958,0
12005064,1,4,,41,M,M,GRAD,0,,,43392.95838,,43392.95387,400070
12004935,1,5,,55,M,M,GRAD,0,,,66132.07999,0,66132.07999,411005
12005065,1,5,,36,M,M,POSTGRAD,3,,MGR,71311.5505,5,71311.5505,110001
12005066,1,4,,27,M,S,UG,1,,,58025.08267,0,58025.08267,0
12005067,1,6,,62,F,M,PRF,2,,,280539.3844,,280539.389,500034
12005068,1,4,,52,M,M,GRAD,2,,,25633.81509,,25633.81208,110001
12005608,1,5,,34,M,M,POSTGRAD,2,,MGR,79568.6774,7,79568.6774,380015
12004940,3,4,,26,M,M,GRAD,0,,,52888.14387,,52888.14837,380015
12005062,1,4,,34,M,M,GRAD,0,,,54088.18965,,54088.18515,411005
12004939,1,4,,41,M,M,UG,0,,,57610.72503,,57610.72503,500034
12004941,1,4,,50,M,M,UG,2,,,45038.874,5,45038.874,641002
12004943,1,4,,25,M,S,GRAD,0,,,140107.4247,,140107.4292,400070
12005444,1,5,,56,M,M,UG,4,,,78516.26904,0,78516.26904,628002
12004942,1,4,,49,F,M,UG,0,,,1.5012958,,1.5012958,636004
12005069,1,4,,49,M,M,GRAD,0,,,368647.4324,,368647.4369,110001
12004944,1,4,,74,M,M,UG,0,,,455708.2063,,455708.2063,560095
12004945,1,4,,41,M,M,POSTGRAD,0,,,166054.5752,,166054.5752,560095
12004946,1,4,,41,M,M,UG,0,,,71473.69045,,71473.69045,400070
12004948,1,4,,30,F,M,GRAD,0,,,150129.58,,150129.58,641002
12004949,1,6,,34,M,M,PRF,2,,,85062.78948,,85062.79399,500034
12005273,1,4,,35,M,M,GRAD,1,,,143148.1792,,143148.1792,110001
12005274,1,4,,41,F,M,GRAD,2,,,23079.42033,2,23079.42033,605005
12004951,1,4,,59,M,M,UG,0,,,52545.353,,52545.353,600017
12005070,1,4,,43,M,M,GRAD,0,,,119548.9352,,119548.9352,400070
12004954,1,4,,38,M,M,GRAD,0,,,664601.8819,,664601.8819,500034
12004952,1,4,,28,M,S,GRAD,2,,,120103.664,,120103.664,600017
12005072,1,4,,30,M,M,GRAD,0,,,468551.9871,,468551.9916,400070
12004956,1,5,,46,M,M,UG,0,,,60694.3866,0,60694.3866,500034
12005074,1,4,,46,M,M,UG,0,,,37532.395,,37532.395,613009
12004957,1,5,,57,M,M,PRF,0,,,240208.8293,23,240208.8293,380015
12005073,1,4,,41,M,M,UG,0,,,75064.79,,75064.79,600017
12004955,1,5,,44,M,M,GRAD,1,,,67316.60238,8,67316.60238,411005
12004958,3,4,,36,M,M,GRAD,0,,,149547.0772,,149547.0772,380015
12005071,1,5,,38,M,M,GRAD,0,,,112417.0295,0,112417.0295,411005
12004959,1,4,,35,M,M,GRAD,0,,,90077.748,,90077.748,641002
12004953,1,5,,53,F,M,UG,0,,,90828.3959,0,90828.3959,500034
12004960,1,4,,39,F,M,UG,0,,,109426.7035,,109426.699,395002
12004961,1,5,,46,M,M,GRAD,0,,,65560.08629,0,65560.08629,411005
12005075,1,4,,37,M,M,POSTGRAD,0,,,157636.059,,157636.059,600053
12005076,4,8,,,,,,0,,MD,0,,0,110001
12005276,1,4,,38,M,M,GRAD,2,,,123749.9362,,123749.9362,600017
12005445,1,4,,44,M,M,OTHERS,3,,,106742.1314,,106742.1314,636004
12004964,1,4,,40,M,M,UG,3,,,82571.269,,82571.269,620017
12004966,1,7,,43,F,M,GRAD,0,,,0.120103664,,0.124607551,400070
12004967,1,4,,35,M,M,GRAD,0,,,82405.25571,,82405.25121,400070
12004968,1,4,,38,M,M,UG,0,,,112597.185,,112597.185,641002
12004969,1,5,,42,M,M,GRAD,2,,,112565.6578,0,112565.6578,600017
12005275,1,4,,37,M,M,UG,3,,,49542.7614,8,49542.7614,636004
12005078,1,4,,40,M,M,GRAD,2,,,2270588.788,,2270588.792,110001
12005079,1,4,,42,M,M,GRAD,0,,,361615.3628,,361615.3628,400070
12005080,1,4,,35,M,M,GRAD,0,,,83601.65335,,83601.65785,400070
12005081,4,8,,,,,,0,,MD,0,,0,400070
12004971,1,5,,59,F,M,GRAD,2,,,168664.5779,0,168664.5779,110001
12005082,1,4,,46,M,M,UG,0,,,110056.9925,,110056.9925,400070
12004973,1,5,,52,M,M,PRF,3,,SM,112597.185,2,112597.185,110001
12004970,1,5,,57,M,M,UG,0,,,70385.25099,0,70385.25099,500034
12005077,1,5,,35,M,M,GRAD,0,,,78876.58004,0,78876.58004,500034
12004974,1,4,,53,M,M,UG,2,,,55322.75023,,55322.75023,500034
12005083,1,4,,51,M,M,UG,3,,,235559.5714,,235559.5714,600017
12005084,1,4,,30,M,M,UG,0,,,72437.52235,,72437.52235,380015
12004975,1,4,,61,M,M,GRAD,2,,,114272.511,,114272.5065,110001
12004976,1,4,,27,M,S,UG,0,,,25559.44089,,25559.43639,395002
12005086,1,4,,33,M,M,GRAD,0,,,794332.6052,,794332.6052,400070
12005277,1,5,,55,M,M,UG,0,,,45255.0606,0,45255.0606,500034
12005087,1,4,,54,M,M,UG,0,,,72062.1984,,72062.1984,605005
12005088,1,4,,34,M,M,UG,3,,,90077.748,,90077.748,600017
12005089,1,5,,30,F,M,GRAD,0,,,77382.79072,5,77382.79072,400070
12004979,1,4,,35,M,M,UG,0,,,48702.41108,,0,#N/A
12005609,1,4,,31,F,M,GRAD,4,,,1.5012958,,1.5012958,632007
12005090,1,4,,40,M,M,UG,3,,,300266.6665,,300266.6665,635109
12005091,1,4,,36,M,M,UG,0,,,253902.8989,,253902.8989,400070
12005278,1,4,,38,M,M,UG,0,,,124169.173,,124169.173,628002
12005092,1,4,,41,M,M,GRAD,0,,,125382.3401,,125382.3446,400070
12004980,1,4,,26,M,S,UG,2,,,39944.85725,,39944.85274,395002
12005093,1,5,,50,M,M,POSTGRAD,0,,,199597.2766,5,199597.2766,400070
12005279,1,4,,40,M,M,UG,4,,,77346.75962,10,77346.75962,628002
12004981,1,5,,48,M,M,PRF,2,,AGM,214523.1595,0,214523.1595,110001
12005094,3,4,,33,M,M,GRAD,0,,,188856.6311,,188856.6311,380015
12005095,1,4,,55,M,M,UG,2,,,45038.874,,45038.874,613009
12005096,1,4,,37,M,M,UG,3,,,45038.874,,45038.874,613009
12005097,1,4,,28,M,S,GRAD,0,,,71198.95332,,71198.95332,600017
12004984,1,5,,26,M,S,UG,0,,,21018.1412,,21018.1412,500034
12004986,1,4,,40,M,M,UG,0,,,41207.56712,,41207.56712,570009
12005280,1,4,,37,M,M,GRAD,0,,,350455.4955,,350455.4955,400070
12004987,1,4,,56,F,M,GRAD,0,,,168113.3472,,168113.3517,110001
12004983,1,4,,47,F,M,UG,1,,,43306.37865,,43306.37865,411005
12005098,1,4,,29,M,M,POSTGRAD,0,,,71850.89102,,71850.89102,400070
12004985,1,4,,41,M,M,UG,0,,,90077.748,,90077.748,620017
12005099,1,4,,31,M,M,UG,0,,,151256.4226,,151256.4271,500034
12005100,1,4,,71,M,M,GRAD,4,,,55141.34866,,55141.34415,110001
12005281,1,5,,29,M,M,GRAD,0,,OTH,36388.4076,0,36388.4076,500034
12005101,1,6,,25,M,M,UG,1,,,41461.91665,,41461.91215,395002
12005103,2,8,,,,,,0,,MD,0,,0,400070
12005104,1,4,,37,M,M,POSTGRAD,0,,,67958.66155,,67958.65705,500034
12005105,1,4,,32,M,M,UG,0,,,159137.3548,,159137.3548,625010
12005102,1,4,,27,M,M,GRAD,2,,,69947.62327,,69947.62327,411005
12004988,1,5,,49,M,M,GRAD,1,,,258808.383,8,258808.383,110001
12004989,3,4,,46,M,M,UG,0,,,105841.3539,,105841.3539,380015
